timestamp,java_nio_BufferPool_Count,java_nio_BufferPool_MemoryUsed,java_nio_BufferPool_TotalCapacity,jmx_config_reload_failure_created,jmx_config_reload_failure_total,jmx_config_reload_success_created,jmx_config_reload_success_total,jmx_exporter_build_info,jmx_scrape_cached_beans,jmx_scrape_duration_seconds,jmx_scrape_error,jvm_buffer_pool_capacity_bytes,jvm_buffer_pool_used_buffers,jvm_buffer_pool_used_bytes,jvm_classes_currently_loaded,jvm_classes_loaded_total,jvm_classes_unloaded_total,jvm_gc_collection_seconds_count,jvm_gc_collection_seconds_sum,jvm_info,jvm_memory_bytes_committed,jvm_memory_bytes_init,jvm_memory_bytes_max,jvm_memory_bytes_used,jvm_memory_objects_pending_finalization,jvm_memory_pool_allocated_bytes_created,jvm_memory_pool_allocated_bytes_total,jvm_memory_pool_bytes_committed,jvm_memory_pool_bytes_init,jvm_memory_pool_bytes_max,jvm_memory_pool_bytes_used,jvm_memory_pool_collection_committed_bytes,jvm_memory_pool_collection_init_bytes,jvm_memory_pool_collection_max_bytes,jvm_memory_pool_collection_used_bytes,jvm_threads_current,jvm_threads_daemon,jvm_threads_deadlocked,jvm_threads_deadlocked_monitor,jvm_threads_peak,jvm_threads_started_total,jvm_threads_state,process_cpu_seconds_total,process_max_fds,process_open_fds,process_resident_memory_bytes,process_start_time_seconds,process_virtual_memory_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2023-12-09 03:28:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023818054,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87591920.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7486.0,10.0,569.61,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.040712283,678.0,678.0,0.0,1.0
2023-12-09 03:29:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.0243794,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87591920.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7494.0,10.0,569.92,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.042550145,678.0,678.0,0.0,1.0
2023-12-09 03:30:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.024092201,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87595504.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7500.0,10.0,570.12,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.042379766,678.0,678.0,0.0,1.0
2023-12-09 03:31:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.024629631,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87595504.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7508.0,10.0,570.41,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.042652851,678.0,678.0,0.0,1.0
2023-12-09 03:32:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023703118,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87595504.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7514.0,10.0,570.57,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.041676723,678.0,678.0,0.0,1.0
2023-12-09 03:33:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.024115945,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87595504.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7522.0,10.0,570.86,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.041884382,678.0,678.0,0.0,1.0
2023-12-09 03:34:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023792099,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87595504.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7528.0,10.0,571.02,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.049088337,678.0,678.0,0.0,1.0
2023-12-09 03:35:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023883177,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89554944.0,2555904.0,-1.0,87595504.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7536.0,10.0,571.31,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.041481371,678.0,678.0,0.0,1.0
2023-12-09 03:36:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.023901264,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89817088.0,2555904.0,-1.0,87622456.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,62.0,54.0,0.0,0.0,65.0,7545.0,10.0,571.99,1048576.0,349.0,5002629120.0,1702028114.945,35413696512.0,0.043892177,678.0,678.0,0.0,1.0
2023-12-09 03:37:01,0.0,0.0,0.0,1702028115.265,0.0,1702028115.262,0.0,1.0,0.0,0.024793945,0.0,0.0,0.0,0.0,7225.0,7229.0,4.0,18.0,5.074,1.0,89817088.0,2555904.0,-1.0,87627168.0,0.0,1702028117.393,96756768.0,2621440.0,89128960.0,2621440.0,2195504.0,2621440.0,89128960.0,2621440.0,2195504.0,58.0,50.0,0.0,0.0,65.0,7550.0,10.0,572.28,1048576.0,345.0,5002563584.0,1702028114.945,35413696512.0,0.043181122,678.0,678.0,0.0,1.0
